ID,Country,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed
3832899,AR,280.37,79,-40.81,-63,99,2.24
5954718,CA,291.15,88,54.77,-101.86,20,2.1
110690,SA,307.15,11,18.39,42.45,87,6.7
3402648,BR,300.73,77,-1.2,-46.02,27,2.92
3347019,AO,300.36,36,-15.2,12.15,0,4.77
3393471,BR,300.99,66,-1.77,-55.87,79,1.09
3460087,BR,294.62,49,-21.48,-56.14,29,1.42
3620680,NI,297.25,96,12.01,-83.76,100,1.92
4127619,US,297.15,94,34.77,-92.3,90,0.73
4418478,US,299.15,88,30.4,-88.89,1,2.6
2729907,SJ,283.15,76,78.22,15.64,75,6.2
483883,RU,302.75,38,45.36,40.19,0,3.47
2016307,RU,290.69,92,50.72,136.63,79,2.2
3992842,MX,298.04,90,17.52,-101.27,100,1.28
3057069,SK,297.15,47,49.4,18.62,40,4.1
5746545,US,291.48,77,45.52,-122.68,90,1.5
1516048,MN,295.31,46,48.01,91.64,79,4.01
934649,MU,294.82,56,-19.98,57.61,7,4.02
1688696,PH,301.68,77,12.18,125.51,7,3.12
5711149,US,289.82,76,42.21,-121.74,1,1.26
3463573,BR,291.09,73,-24,-51.32,13,1.12
1529660,CN,303.86,20,41.12,80.26,32,4.5
2210554,LY,300.82,55,31.21,16.59,0,6.03
964712,ZA,292.38,53,-34.05,23.37,0,2.6
1626542,ID,299.98,85,-0.88,131.25,94,5.03
5768244,US,291.15,82,44.06,-103.15,1,3.3
1106643,MU,295.15,53,-20.21,57.76,75,7.7
515805,RU,300.15,44,43.06,44.74,77,2
161974,TM,318.37,6,39.24,55.52,0,6.09
72181,YE,306.04,35,14.4,46.47,44,1.92
2696329,SE,292.59,67,58.51,13.16,0,1
2389804,CF,300.44,62,5.67,15.97,7,2.98
233093,UG,295.48,70,3.48,34.15,85,3.26
1519580,KZ,299.82,30,44.36,77.98,76,4.25
3893726,CL,281.18,83,-35.33,-72.42,0,3.07
3389822,BR,300.33,83,-0.61,-47.36,20,4.47
2399001,GA,297.65,72,-3.43,10.66,92,3.83
5540831,US,300.93,35,37.18,-113.29,86,2.61
2123979,RU,285.97,93,45.23,147.88,100,5
7302647,CA,289.82,91,46.6,-70.86,81,1.68
1185095,BD,300.03,88,20.86,92.31,96,1.92
2191911,NZ,285.15,72,-35.93,173.88,34,6.84
3695465,PE,277.49,71,-9.9,-76.94,29,0.52
1640576,ID,291.65,89,-9.45,124.48,54,2.1
2240449,AO,297.15,73,-8.84,13.23,40,3.6
708366,UA,295.54,52,49.28,31.45,14,5
1566346,VN,304.15,70,20.45,106.33,20,5.7
823676,RU,301.15,61,43.71,39.6,20,3
2036581,CN,294.73,73,46.83,130.35,54,1.56
5969025,CA,281.15,82,60.75,-137.51,95,1.91
4794814,US,296.48,94,37.7,-77.61,1,1.5
1651103,ID,293.4,80,-9.11,124.89,34,3.27
2084442,PG,299.74,84,-2.67,141.3,11,2.95
